"Year","State","PercentRenewable.x","PercentRenewable.y","PercentRenewable"
"1993","Nordrhein-Westfalen","0.4","0.5","227.4"
"1993","Rheinland-Pfalz","0.8","2.9","156.3"
"1993","Saarland","0.8","0","259.4"
"1993","Sachsen","0.1","0.3","143.3"
"1993","Sachsen-Anhalt","0.1","0.1","151.7"
"1993","Schleswig-Holstein","0.5",NA,"196.1"
"1993","Thüringen","0.6","1.8","94.2"
"1994","Baden-Württemberg","2.1","7.5","147.8"
"1994","Bayern","3.6",NA,"157.7"
"1994","Berlin","0.6",NA,"99.5"
"1994","Brandenburg","1.4",NA,"231.6"
"1994","Bremen","1.4","1.6","240.1"
"1994","Deutschland","1.8","4.4","174.2"
"1994","Hamburg","0.8",NA,"145.1"
"1994","Hessen","0.7",NA,"168.8"
"1994","Mecklenburg-Vorpommern","0.8","0.1","84.3"
"1994","Niedersachsen","0.7",NA,"192.7"
"1994","Nordrhein-Westfalen","0.5","0.5","225.6"
"1994","Rheinland-Pfalz","1.2","3.8","158.2"
"1994","Saarland","1.1","0","269.4"
"1994","Sachsen","0.2","0.4","137.1"
"1994","Sachsen-Anhalt","0.1","0.1","155.9"
"1994","Schleswig-Holstein","0.7",NA,"187.4"
"1994","Thüringen","0.9","2.6","87.6"
"1995","Baden-Württemberg","2","7.8","151.1"
"1995","Bayern","5.5","18.7","163.4"
"1995","Berlin","0.5",NA,"97.7"
"1995","Brandenburg","1.5",NA,"221.9"
"1995","Bremen","1.9","1.7","240.4"
"1995","Deutschland","1.9","4.7","174.7"
"1995","Hamburg","1",NA,"146.9"
"1995","Hessen","1",NA,"164.9"
"1995","Mecklenburg-Vorpommern","1.5","1.5","89.2"
"1995","Niedersachsen",NA,NA,NA
"1995","Nordrhein-Westfalen","0.5","0.8","229.3"
"1995","Rheinland-Pfalz","0.9","3.6","165.6"
"1995","Saarland","1","0","255.6"
"1995","Sachsen","0.3","0.9","142"
"1995","Sachsen-Anhalt","0.1","0.2","159"
"1995","Schleswig-Holstein","0.9",NA,"218.9"
"1995","Thüringen","1.1","2.8","90"
"1996","Baden-Württemberg","1.9","6.6","156.8"
"1996","Bayern","5.2","17","168.2"
"1996","Berlin","0.5",NA,"100.4"
"1996","Brandenburg","0.5",NA,"227"
"1996","Bremen","1.6","1.7","253"
"1996","Deutschland","1.8","4.2","180.1"
"1996","Hamburg","0.9",NA,"156.3"
"1996","Hessen","0.7",NA,"174.6"
"1996","Mecklenburg-Vorpommern","1.5","2","98.9"
"1996","Niedersachsen","0.4",NA,"196"
"1996","Nordrhein-Westfalen","0.5","0.7","233.7"
"1996","Rheinland-Pfalz","1.1","2.8","176.8"
"1996","Saarland","0.3","0","256.9"
"1996","Sachsen","0.3","1.1","136.7"
"1996","Sachsen-Anhalt","0.2","0.4","160.2"
"1996","Schleswig-Holstein","0.9",NA,"225"
"1996","Thüringen","1.1","2.2","94.1"
"1997","Baden-Württemberg","2.1","7.4","152.1"
"1997","Bayern","5.3","16.5","166.6"
"1997","Berlin","0.4",NA,"94.5"
"1997","Brandenburg","0.6",NA,"224.4"
"1997","Bremen","1.6","1.6","253.1"
"1997","Deutschland","2.4","4.4","178.1"
"1997","Hamburg","1",NA,"151.7"
"1997","Hessen","0.8",NA,"176.4"
"1997","Mecklenburg-Vorpommern","1.4","3.5","92.8"
"1997","Niedersachsen",NA,NA,NA
"1997","Nordrhein-Westfalen","0.6","0.8","228.1"
"1997","Rheinland-Pfalz","1.2","3.5","173.9"
"1997","Saarland","0.3","0","243.6"
"1997","Sachsen","0.4","1.4","133.3"
"1997","Sachsen-Anhalt","0.3","0.7","152"
"1997","Schleswig-Holstein","1.1",NA,"222.4"
"1997","Thüringen","1.6","2.6","91.5"
"1998","Baden-Württemberg","2","6.3","153.8"
"1998","Bayern","5.4","17.3","169.3"
"1998","Berlin","0.6",NA,"93.1"
"1998","Brandenburg","1.2",NA,"242.2"
"1998","Bremen","1.7","1.8","245.1"
"1998","Deutschland","2.6","4.8","177"
"1998","Hamburg",NA,NA,NA
"1998","Hessen","0.8",NA,"178"
"1998","Mecklenburg-Vorpommern","1.9","5.5","91.1"
"1998","Niedersachsen","1.3",NA,"195"
"1998","Nordrhein-Westfalen","0.7","1","225.6"
"1998","Rheinland-Pfalz","1.6","4.1","164.9"
"1998","Saarland","0.7","0","255.8"
"1998","Sachsen","0.6","2.2","121.9"
"1998","Sachsen-Anhalt","0.4","1.3","166.4"
"1998","Schleswig-Holstein","1.6",NA,"199.9"
"1998","Thüringen","1.8","3.3","92"
"1999","Baden-Württemberg","2.2","7.2","151.6"
"1999","Bayern","5.9","19.2","167.3"
"1999","Berlin","0.6",NA,"98.6"
"1999","Brandenburg","1.6",NA,"235.4"
"1999","Bremen","1.9","1.9","232.3"
"1999","Deutschland","2.8","5.3","174.5"
"1999","Hamburg",NA,NA,NA
"1999","Hessen","0.8",NA,"170.4"
"1999","Mecklenburg-Vorpommern","2.7","7.9","93.9"
"1999","Niedersachsen",NA,NA,NA
"1999","Nordrhein-Westfalen","0.9","1.1","216.9"
"1999","Rheinland-Pfalz","1.6","4","161"
"1999","Saarland","0.7","0","245.5"
"1999","Sachsen","0.6","2.8","119.5"
"1999","Sachsen-Anhalt","0.5","2","165.3"
"1999","Schleswig-Holstein","1.5",NA,"215.7"
"1999","Thüringen","2","3.6","92.8"
"2000","Baden-Württemberg","2.8","11.6","148.7"
"2000","Bayern","6.4","19.1","167.2"
"2000","Berlin","0.7",NA,"98"
"2000","Brandenburg","1.8",NA,"237.6"
"2000","Bremen","1.8","1.9","251.2"
"2000","Deutschland","2.9","6.6","175.2"
"2000","Hamburg",NA,NA,NA
"2000","Hessen","2",NA,"170.4"
"2000","Mecklenburg-Vorpommern","4.5","12.2","93.7"
"2000","Niedersachsen","1.7",NA,"184.5"
"2000","Nordrhein-Westfalen","0.9","1.1","219.7"
"2000","Rheinland-Pfalz","1.9","4.8","160.8"
"2000","Saarland","0.8","0","253.5"
"2000","Sachsen","0.6","3","130.2"
"2000","Sachsen-Anhalt","1.1","4.6","168.2"
"2000","Schleswig-Holstein","1.8",NA,"210.8"
"2000","Thüringen","3.5","7.3","91.8"
"2001","Baden-Württemberg","3","8.7","153"
"2001","Bayern","6.4","18","170.2"
"2001","Berlin","0.6",NA,"102.7"
"2001","Brandenburg","2.1","6","245.5"
"2001","Bremen","1.9","2.6","252.1"
"2001","Deutschland","2.9","6.7","178.3"
"2001","Hamburg",NA,NA,NA
"2001","Hessen","2.3",NA,"177.8"
"2001","Mecklenburg-Vorpommern","4.6","13.6","97.5"
"2001","Niedersachsen",NA,NA,NA
"2001","Nordrhein-Westfalen","1.2","1.9","219.9"
"2001","Rheinland-Pfalz","1.9","5.4","164.4"
"2001","Saarland","0.9","0","251.1"
"2001","Sachsen","0.7","3.8","141.4"
"2001","Sachsen-Anhalt","1.5","6.4","171.5"
"2001","Schleswig-Holstein","1.9",NA,"216.5"
"2001","Thüringen","3.9","7.9","94.9"
"2002","Baden-Württemberg","2.7","8.6","149.4"
"2002","Bayern","7.2","20.6","164"
"2002","Berlin","0.7",NA,"95.1"
"2002","Brandenburg","2.9","9.3","248.7"
"2002","Bremen","2","2.2","248.6"
"2002","Deutschland","3.2","8","174.9"
"2002","Hamburg",NA,NA,NA
"2002","Hessen","2.4","2.8","170.6"
"2002","Mecklenburg-Vorpommern","6.4","20.3","100.1"
"2002","Niedersachsen","2.2",NA,"182.1"
"2002","Nordrhein-Westfalen","1.2","3.3","228.5"
"2002","Rheinland-Pfalz","1.9","5.4","164.7"
"2002","Saarland","1","0","254.5"
"2002","Sachsen","1","5","143.2"
"2002","Sachsen-Anhalt","2.2","10.2","174.2"
"2002","Schleswig-Holstein","2.6","22","194.8"
"2002","Thüringen","7.1","8.3","100.3"
"2003","Baden-Württemberg","4.4","6.3","153.2"
"2003","Bayern","6.9","18.2","161.5"
"2003","Berlin","0.6","0.6","93.3"
"2003","Brandenburg","5.3","15.1","240.1"
"2003","Bremen","2.4","2.3","257.5"
"2003","Deutschland","3.8","7.7","176.9"
"2003","Hamburg","1.9","1.2","142.4"
"2003","Hessen","3.1","2.9","165.4"
"2003","Mecklenburg-Vorpommern","7.2","20.9","99.4"
"2003","Niedersachsen",NA,NA,NA
"2003","Nordrhein-Westfalen","1.1","3.6","241.5"
"2003","Rheinland-Pfalz","2.2","5.4","157.8"
"2003","Saarland","1.2","0.9","249.4"
"2003","Sachsen","1.4","5.2","145.4"
"2003","Sachsen-Anhalt",NA,"13.9","180.8"
"2003","Schleswig-Holstein","3.1","22","204.1"
"2003","Thüringen","11.2","7.7","104.8"
"2004","Baden-Württemberg","5","7.4","150.8"
"2004","Bayern","7.2","19","161.2"
"2004","Berlin","0.9","0.7","90.2"
"2004","Brandenburg","6.2","19.8","244.9"
"2004","Bremen","2.2","2.6","233.2"
"2004","Deutschland","4.5","9.5","176.9"
"2004","Hamburg","2.5","1.3","141"
"2004","Hessen","3.2","3.5","174"
"2004","Mecklenburg-Vorpommern","10.2","31.2","99.9"
"2004","Niedersachsen","5","14.3","180.6"
"2004","Nordrhein-Westfalen","2","4.8","224.1"
"2004","Rheinland-Pfalz","3.2","7.5","159.4"
"2004","Saarland","1.7","1.2","264.5"
"2004","Sachsen","2.5","7.3","143.3"
"2004","Sachsen-Anhalt","4.5","15.8","180.7"
"2004","Schleswig-Holstein","3.7","27.5","202.3"
"2004","Thüringen","13.2","11.2","104.5"
"2005","Baden-Württemberg","5.9","8.8","154.5"
"2005","Bayern","8","18.4","161.2"
"2005","Berlin","1.1","0.8","87.8"
"2005","Brandenburg","6.8","23.5","262.2"
"2005","Bremen","4","4","218.4"
"2005","Deutschland","5.3","10.4","176.5"
"2005","Hamburg","3.1","1.4","142.2"
"2005","Hessen","3.7","3.8","170.2"
"2005","Mecklenburg-Vorpommern","12.4","31.5","100.2"
"2005","Niedersachsen",NA,NA,NA
"2005","Nordrhein-Westfalen","2.7","5.7","223"
"2005","Rheinland-Pfalz","3.8","7.9","160.1"
"2005","Saarland","2.2","1.1","274.9"
"2005","Sachsen","3.1","7.9","147.4"
"2005","Sachsen-Anhalt","6.2","18.9","197.7"
"2005","Schleswig-Holstein","4.2","27.7","201.3"
"2005","Thüringen","14","11.1","106"
"2006","Baden-Württemberg","7.4","10.3","158.6"
"2006","Bayern","9.2","20","166.3"
"2006","Berlin","1.7","0.8","89.4"
"2006","Brandenburg","10.4","29.7","264"
"2006","Bremen","3.9","4.3","226.3"
"2006","Deutschland","6.3","11.8","180.1"
"2006","Hamburg","4.5","2.7","146.2"
"2006","Hessen","4.8","4.3","172.3"
"2006","Mecklenburg-Vorpommern","15.2","32.7","107.4"
"2006","Niedersachsen","7.9","19","183"
"2006","Nordrhein-Westfalen","3.4","5.8","226.4"
"2006","Rheinland-Pfalz","6.8","10.1","163.3"
"2006","Saarland","2.2","2.1","272.3"
"2006","Sachsen","4.9","8.5","151.8"
"2006","Sachsen-Anhalt","10","22.9","206.4"
"2006","Schleswig-Holstein","5.2","27.6","206.1"
"2006","Thüringen","15.4","12.3","107.9"
"2007","Baden-Württemberg","8.7","11.5","149.1"
"2007","Bayern","10.4","22.1","158.2"
"2007","Berlin","2.2","0.8","79.3"
"2007","Brandenburg","13.3","41.1","261"
"2007","Bremen","3.8","5.1","242.1"
"2007","Deutschland","7.9","14.5","172.6"
"2007","Hamburg","5.2","2.8","140"
"2007","Hessen","5.7","5.4","146.7"
"2007","Mecklenburg-Vorpommern","20.2","46.9","103.1"
"2007","Niedersachsen",NA,NA,NA
"2007","Nordrhein-Westfalen","3.5","6.1","237.6"
"2007","Rheinland-Pfalz","8.5","12.6","158.6"
"2007","Saarland","2.5","2.3","287.3"
"2007","Sachsen","6","11.5","147.5"
"2007","Sachsen-Anhalt","13.2","34.3","204"
"2007","Schleswig-Holstein","7.8","37.8","173.4"
"2007","Thüringen","19.3","17.8","105.2"
"2008","Baden-Württemberg","8.7","11.6","151.2"
"2008","Bayern","10.1","22.6","162.9"
"2008","Berlin","2.2","1.1","83.6"
"2008","Brandenburg","13.2","39.8","255.3"
"2008","Bremen","4.4","5.9","239.7"
"2008","Deutschland","8","15.4","175.1"
"2008","Hamburg","4.8","2.9","135.9"
"2008","Hessen","5","5.5","173.9"
"2008","Mecklenburg-Vorpommern","24","54","115.3"
"2008","Niedersachsen","10.3","26.8","184.5"
"2008","Nordrhein-Westfalen","3.6","4.7","232.3"
"2008","Rheinland-Pfalz","8.1","13","165.8"
"2008","Saarland","2.9","4.2","273.7"
"2008","Sachsen","6.2","12","150.1"
"2008","Sachsen-Anhalt","14.2","39","209.3"
"2008","Schleswig-Holstein","9.4","45.1","152.7"
"2008","Thüringen","18.9","18","109.6"
"2009","Baden-Württemberg","9.3","12.3","143.8"
"2009","Bayern","10.7","24.6","160.3"
"2009","Berlin","2.9","2.1","82.2"
"2009","Brandenburg","14.7","43","247.2"
"2009","Bremen","5","6.2","230.9"
"2009","Deutschland","8.9","16.6","165.3"
"2009","Hamburg","5.1","2.9","133.4"
"2009","Hessen","6.1","6.5","145.8"
"2009","Mecklenburg-Vorpommern","26.4","54.5","110.8"
"2009","Niedersachsen","11.1","27","180.7"
"2009","Nordrhein-Westfalen","3.7","8","234.9"
"2009","Rheinland-Pfalz","9.2","14.4","154.7"
"2009","Saarland","2.9","4","228.6"
"2009","Sachsen","6.8","13.2","149.9"
"2009","Sachsen-Anhalt","14.9","42.3","209.9"
"2009","Schleswig-Holstein","10.2","47.7","149"
"2009","Thüringen","19.1","19.8","106.3"
"2010","Baden-Württemberg","10.5","14","144"
"2010","Bayern","12.9","26.4","166.2"
"2010","Berlin","3.2","2.8","88.9"
"2010","Brandenburg","16.8","50.6","261.2"
"2010","Bremen","4.9","7.2","254.2"
"2010","Deutschland","9.9","17.4","173.9"
"2010","Hamburg","4.4","2.6","143.7"
"2010","Hessen","6.7","7.8","165.8"
"2010","Mecklenburg-Vorpommern","22.6","56.7","117.6"
"2010","Niedersachsen","12.2","27.5","186.8"
"2010","Nordrhein-Westfalen","3.7","7.9","247.1"
"2010","Rheinland-Pfalz","9.5","15.2","167.6"
"2010","Saarland","3.3","5.4","242.4"
"2010","Sachsen","7.5","13.6","153"
"2010","Sachsen-Anhalt","14.5","41.9","223.1"
"2010","Schleswig-Holstein","12","51.3","155"
"2010","Thüringen","20.4","19.5","111.4"
"2011","Baden-Württemberg","10.4","15.5","133.2"
"2011","Bayern","14.2","27.7","162.2"
"2011","Berlin","3.3","2.8","80.4"
"2011","Brandenburg","17.7","57.6","271.1"
"2011","Bremen","5","9","240.7"
"2011","Deutschland","10.8","20.2","166.3"
"2011","Hamburg","4.6","2.8","133.9"
"2011","Hessen","7.8","9.8","145"
"2011","Mecklenburg-Vorpommern","27","72.9","113.3"
"2011","Niedersachsen","12.6","34.6","170.3"
"2011","Nordrhein-Westfalen","3.8","8.9","238.4"
"2011","Rheinland-Pfalz","9.8","16.7","158.4"
"2011","Saarland","3.2","5.9","255.8"
"2011","Sachsen","7.9","16.8","146.3"
"2011","Sachsen-Anhalt","16.4","49.6","220.9"
"2011","Schleswig-Holstein","14.5","60.8","146.3"
"2011","Thüringen","21.5","23.6","106.7"
"2012","Baden-Württemberg","12.1","18.3","132.1"
"2012","Bayern","15.6","32.7","162"
"2012","Berlin","3.6","2.1","89.2"
"2012","Brandenburg","18.4","58.6","278"
"2012","Bremen","5.2","10.3","245.5"
"2012","Deutschland","10.3","24","167.2"
"2012","Hamburg","4.8","2.9","139.6"
"2012","Hessen","8.3","11.1","142"
"2012","Mecklenburg-Vorpommern","30.6","90.2","122.6"
"2012","Niedersachsen","14.7","40.2","171.1"
"2012","Nordrhein-Westfalen","4.3","9.7","239.3"
"2012","Rheinland-Pfalz","10.7","20.6","158.1"
"2012","Saarland","3","6.1","269.3"
"2012","Sachsen","8.1","18.4","151.2"
"2012","Sachsen-Anhalt","16.9","53.9","227.3"
"2012","Schleswig-Holstein","17","70.3","149.1"
"2012","Thüringen","21.7","25.6","111"
"2013","Baden-Württemberg","11.9","18.9","135.4"
"2013","Bayern",NA,NA,NA
"2013","Berlin",NA,NA,NA
"2013","Brandenburg",NA,NA,NA
"2013","Bremen","5.9","12.6","241"
"2013","Deutschland","10.8","25.1","171.4"
"2013","Hamburg",NA,NA,NA
"2013","Hessen",NA,NA,NA
"2013","Mecklenburg-Vorpommern",NA,NA,NA
"2013","Niedersachsen",NA,"34.6",NA
"2013","Nordrhein-Westfalen","4.3","10.6","238.8"
"2013","Rheinland-Pfalz","11.3","23.1","164"
"2013","Saarland",NA,NA,NA
"2013","Sachsen","8.5","19.9","155.8"
"2013","Sachsen-Anhalt","18.1","57.1","228.5"
"2013","Schleswig-Holstein",NA,NA,NA
"2013","Thüringen","23.1","28.9","113.7"
